Window	width	angle	angle	mean ang	std ang	mean int	std int	mean std	std std
101.00	0.06	30	29	28.5956845	1.570907525	3.843934922	0.991450372	7.172259527	1.332425558
101.00	0.06	35	34	34.6265732	1.533769147	3.899206511	0.947492942	7.110326757	1.4238662
101.00	0.06	40	39	38.7663487	1.65228366	3.849127038	0.990831853	7.25094501	1.296809267
101.00	0.06	45	44	43.90332256	1.217572604	4.052947474	0.946394107	7.358070559	1.296622834
101.00	0.06	5	5	4.039775447	1.390309138	3.87630281	0.986345316	7.074423876	1.279457686
101.00	0.06	50	50	48.97341032	1.328965842	3.909574581	0.939255762	7.251899687	1.365098271
101.00	0.06	55	54	53.69908997	1.411556538	3.875380011	0.977181255	7.139681815	1.357569169
101.00	0.06	60	60	59.44373763	1.454389021	3.913729334	0.941889896	7.181890762	1.391458546
101.00	0.06	65	64	64.08389323	1.641543408	3.874798582	0.9665904	7.196536877	1.355623697
101.00	0.06	70	70	68.9660882	1.346425808	3.892305633	0.96279261	7.145413279	1.37922652
101.00	0.06	75	74	73.97684531	1.521987918	3.903181689	0.977036049	7.25566519	1.319621127
101.00	0.06	80	80	80.63883106	1.054726644	4.020473603	0.909424628	7.257273704	1.416593989
101.00	0.06	85	84	84.66083811	1.495585218	3.95841097	0.94082635	7.22966651	1.397790809
101.00	0.06	90	90	88.86559354	1.362145788	3.899964342	0.991055105	7.18113684	1.35640174
101.00	0.06	95	95	94.05746961	1.310090993	3.912305764	0.957064566	7.160526196	1.387832101
101.00	0.11	0	0	0.586930912	2.171126605	2.662081695	1.273441033	13.77910405	4.450454495
101.00	0.11	10	9	10.11192659	1.589687952	2.701243191	1.346712864	14.01307368	4.766968065
101.00	0.11	100	99	100.2128195	1.694257376	2.720845281	1.370801577	14.17346468	4.707770726
101.00	0.11	105	105	105.200282	1.527726747	2.744575783	1.365464463	14.35542629	4.761087947
101.00	0.11	110	109	110.441487	1.665846036	2.707597724	1.378805409	14.20201015	4.781768556
101.00	0.11	115	115	115.394887	1.805090028	2.719796312	1.390296544	14.16332039	4.683630158
101.00	0.11	120	119	120.4431403	1.749373533	2.737532723	1.423876887	14.152358	4.772534846
101.00	0.11	125	125	125.2026306	1.448492392	2.762228176	1.397348628	14.2204477	4.703695779
101.00	0.11	130	129	130.3287266	1.622710289	2.730828025	1.386859721	14.13499788	4.682595745
101.00	0.11	135	135	135.3541892	2.018155137	2.718954269	1.443120159	13.92521503	4.684415309
101.00	0.11	140	140	140.6187732	2.012707206	2.687551595	1.354120748	14.08863398	4.623681227
101.00	0.11	145	145	145.3463728	2.146787208	2.628295822	1.344272043	14.10100613	4.720787782
101.00	0.11	15	14	14.99051058	1.83155833	2.668730777	1.336120112	14.02716353	4.809776714
101.00	0.11	150	150	150.323138	2.132865577	2.64784336	1.329530263	13.97502533	4.639389354
101.00	0.11	155	155	155.3105028	2.112039323	2.611839665	1.324254176	13.9964899	4.704104054
101.00	0.11	160	160	160.0837235	1.572792751	2.654431022	1.320515648	13.99997547	4.879749536
101.00	0.11	165	165	165.0993724	1.532977226	2.694259654	1.332931245	14.10923376	4.831160845
101.00	0.11	170	170	170.1240113	1.726316926	2.69198146	1.342695478	13.99050874	4.727005866
101.00	0.11	175	175	175.0593422	1.299709353	2.679319377	1.327105549	14.04367193	4.911549478
101.00	0.11	20	19	20.06374975	2.149732662	2.65274266	1.336047464	14.02393839	4.787150934
101.00	0.11	25	24	25.06361758	2.150598973	2.617436945	1.292350199	14.08043373	4.86445061
101.00	0.11	30	29	29.67470249	2.193429085	2.667718372	1.337813636	13.97094123	4.53395434
101.00	0.11	35	34	34.73225167	2.080881553	2.69708262	1.344822028	14.07278545	4.588657995
101.00	0.11	40	39	39.70217854	1.909441623	2.702926552	1.348203076	14.17467282	4.673299383
101.00	0.11	45	44	45.26587416	1.727028563	2.987997572	1.581326647	14.24078553	4.419471788
101.00	0.11	5	5	5.158503816	1.751721621	2.6485755	1.329248157	13.8624453	4.830118016
101.00	0.11	50	50	49.98132236	1.682989651	2.739070042	1.394901535	14.18398838	4.669888894
101.00	0.11	55	54	54.94706009	1.491391258	2.749188568	1.408518808	14.18647235	4.763392187
101.00	0.11	60	60	59.90792938	1.36121708	2.762709111	1.403471351	14.17224707	4.651994548
101.00	0.11	65	64	64.768	1.430472293	2.714364035	1.357391113	14.1664137	4.81727862
101.00	0.11	70	70	69.82501931	1.206393017	2.742544722	1.36568951	14.2293773	4.770765174
101.00	0.11	75	74	74.99818855	1.334111814	2.745890264	1.352229044	14.2882775	4.713569246
101.00	0.11	80	80	80.04978737	1.602522712	2.732001338	1.380646678	14.14730999	4.686615801
101.00	0.11	85	84	85.03542343	1.71491636	2.661313872	1.337536859	14.06087225	4.799843274
101.00	0.11	90	90	90.33726099	1.548540327	2.713733803	1.263783168	14.00863454	4.400635031
101.00	0.11	95	95	95.17525156	1.418543335	2.699102535	1.353739542	14.14481539	4.828772972
101.00	0.16	0	179	2.193575557	6.067748523	0.859203024	0.700693123	16.19312348	5.277842847
101.00	0.16	10	9	14.17139624	7.094770796	1.438567987	0.955880495	15.71730762	4.961770874
101.00	0.16	100	99	109.7439542	5.875305935	1.244714081	0.653352751	15.50663984	4.36793099
101.00	0.16	105	105	100.9746973	7.021924555	1.491714401	1.047635394	16.10716845	4.972543921
101.00	0.16	110	109	104.786405	7.864810594	1.443846177	0.874936867	16.09863506	4.889211375
101.00	0.16	115	115	123.7868706	6.622524921	1.303428317	0.719727535	15.6499654	4.494334208
101.00	0.16	120	119	125.2253361	6.657143298	1.4856676	0.992678852	15.93651863	4.822823348
101.00	0.16	125	125	133.8648894	6.53395884	1.243714594	0.642651432	15.54474992	4.506974638
101.00	0.16	130	129	139.4068634	6.353484327	1.243992448	0.623009983	15.33327557	4.293986266
101.00	0.16	135	135	140.0008435	8.504988884	1.365364728	0.837892127	15.72054334	4.486799644
101.00	0.16	140	140	149.8388331	6.045952676	1.233745136	0.618496314	15.4438885	4.297390703
101.00	0.16	145	145	154.6031394	5.565898546	1.235484376	0.614049641	15.44672685	4.313807678
101.00	0.16	15	14	7.421820665	7.575050509	1.266044985	0.745509423	15.69599736	4.729950683
101.00	0.16	150	150	159.4902185	6.139064305	1.230688057	0.605475697	15.52184377	4.426424176
101.00	0.16	155	155	163.9030201	6.28889382	1.233897269	0.609374092	15.42754216	4.390025211
101.00	0.16	160	160	169.1788163	6.389834904	1.223787288	0.595646945	15.47575574	4.473464454
101.00	0.16	165	165	170.4567584	6.631556083	1.396586411	0.945385028	15.66381216	4.865132028
101.00	0.16	170	170	163.5597205	7.675811284	1.31089025	0.798071692	15.4233106	4.723573937
101.00	0.16	175	175	1.636135535	7.898218934	1.320350577	0.808668057	15.59469701	4.672457002
101.00	0.16	20	19	10.1200035	7.327035661	1.201658296	0.592200089	15.62761785	4.612057475
101.00	0.16	25	24	15.36937978	6.934273362	1.216634255	0.599403348	15.60901068	4.523241303
101.00	0.16	30	29	19.99571042	7.032099908	1.216802932	0.593822482	15.72946935	4.557165964
101.00	0.16	35	34	25.09979944	6.695191279	1.218181449	0.602348945	15.57150098	4.472668855
101.00	0.16	40	39	29.64182126	6.577173872	1.221068043	0.603449076	15.51257701	4.503436604
101.00	0.16	45	44	37.70584376	9.072317703	1.262448133	0.744396501	15.54788557	4.651756865
101.00	0.16	5	5	176.7774662	8.214211704	1.258832062	0.736469828	15.55443054	4.663930823
101.00	0.16	50	50	39.96142703	7.341548022	1.218870121	0.615268779	15.51867978	4.436255054
101.00	0.16	55	54	44.37975853	6.779980409	1.225072211	0.607735066	15.529291	4.477006426
101.00	0.16	60	60	50.67251202	7.227460738	1.287142125	0.650486454	15.68956537	4.457260855
101.00	0.16	65	64	54.65497876	7.131041057	1.236652031	0.621697509	15.65331579	4.525256392
101.00	0.16	70	70	69.37683748	4.440599302	1.766041284	1.229328893	16.48156722	5.487202137
101.00	0.16	75	74	74.32102382	8.42588389	1.476797534	1.035765697	15.91798411	4.993896688
101.00	0.16	80	80	69.67761272	6.444620886	1.232177501	0.61773279	15.51801852	4.456859038
101.00	0.16	85	84	94.64738206	6.302278386	1.231838719	0.614142107	15.45819534	4.35695843
101.00	0.16	90	90	88.16796934	6.006651534	1.647379326	1.129293556	16.21810419	5.222633268
101.00	0.16	95	95	85.38145394	7.249647556	1.231155495	0.641411862	15.59578322	4.483743466
101.00	0.21	0	179	178.0331798	6.536322601	0.401388668	0.387491855	19.32470004	6.954020911
101.00	0.21	10	9	11.53147107	7.61474573	1.127587922	0.802710486	17.10306922	5.069981052
101.00	0.21	100	99	102.5661682	7.365406821	1.096758187	0.824662827	17.35536806	5.077070397
101.00	0.21	105	105	104.2480688	7.035888908	1.108267268	0.761268584	17.84362114	5.234006392
101.00	0.21	110	109	108.5437387	7.26547641	1.168254404	0.8481931	17.77647915	5.134771577
101.00	0.21	115	115	117.5111835	6.465241678	1.161428919	0.841605653	17.80584262	5.167310303
101.00	0.21	120	119	121.5439873	5.726829811	1.208983671	0.86355664	17.78339204	5.365848025
101.00	0.21	125	125	127.0743729	7.988971758	1.107987849	0.825077382	17.20911323	4.871582671
101.00	0.21	130	129	135.2734004	8.658398016	1.00945649	0.712000268	16.94792228	4.615505644
101.00	0.21	135	135	147.146787	5.057184681	0.852203558	0.46376411	16.73614693	4.340300885
101.00	0.21	140	140	152.2007258	5.150774555	0.850777072	0.459603503	16.72342098	4.337799444
101.00	0.21	145	145	156.987514	4.859659052	0.848123064	0.458320628	16.69772336	4.364038764
101.00	0.21	15	14	9.401959871	9.10024344	0.991240591	0.723339907	17.10544288	4.796971247
101.00	0.21	150	150	161.8881163	5.398503784	0.852981593	0.47363643	16.84235221	4.477239508
101.00	0.21	155	155	165.2718303	6.243721795	0.89784241	0.550497539	16.90373383	4.561697691
101.00	0.21	160	160	169.3615467	6.987127859	0.926485074	0.610787587	17.05393531	4.806260978
101.00	0.21	165	165	172.3096681	8.267852586	0.945132889	0.639517689	16.79882836	4.738670061
101.00	0.21	170	170	167.3676767	8.542270649	1.065523848	0.774745464	16.92039221	4.943058436
101.00	0.21	175	175	170.7872153	9.847251225	0.944193821	0.776554232	16.16308674	4.639581026
101.00	0.21	20	19	8.506404013	7.177543556	0.878221021	0.530166889	17.20217648	4.697483624
101.00	0.21	25	24	12.60548337	6.249946644	0.845075663	0.449112575	17.04185137	4.543009332
101.00	0.21	30	29	17.27419799	6.092274269	0.832325273	0.443404315	17.04717725	4.619196568
101.00	0.21	35	34	22.4386129	5.584507695	0.835420689	0.449768995	16.87809465	4.522298969
101.00	0.21	40	39	27.13668424	5.760546892	0.838854349	0.44859958	16.91819019	4.564644817
101.00	0.21	45	44	35.33699301	8.649048716	0.899049481	0.545087127	16.83061319	4.721881963
101.00	0.21	5	5	7.3866836	10.08610651	0.968811188	0.781163289	16.33177949	4.730308027
101.00	0.21	50	50	42.6447378	8.935609699	0.960889742	0.666719384	17.05068183	4.6187061
101.00	0.21	55	54	51.51068272	8.727725961	1.072099279	0.803909256	17.23011531	4.907040745
101.00	0.21	60	60	57.85642643	8.173087829	1.114413254	0.817891295	17.4228746	4.914838599
101.00	0.21	65	64	62.44790059	7.404106595	1.171023577	0.856567307	17.75105749	5.171571191
101.00	0.21	70	70	70.18145648	3.533004902	1.34625778	0.895630839	18.39945029	5.648733353
101.00	0.21	75	74	74.78697949	4.579792484	1.288919121	0.899295174	18.17042639	5.583648402
101.00	0.21	80	80	77.2974012	8.187460688	1.084186973	0.830430228	17.13865209	5.036362613
101.00	0.21	85	84	80.32928791	7.20382616	1.082024154	0.806101434	16.99744222	4.815859802
101.00	0.21	90	90	87.65435077	7.741841449	1.109877853	0.722010475	17.90143718	5.210100988
101.00	0.21	95	95	98.54218559	7.679460978	1.074795023	0.810353275	16.98736097	4.816592543
101.00	0.26	0	0	3.421641897	3.611062349	0.787028056	0.613316587	17.34318906	5.34162061
101.00	0.26	10	9	8.357963135	4.034212431	0.955754503	0.632709197	19.11720262	5.459631085
101.00	0.26	100	99	98.32349198	4.576390054	0.954728141	0.623335136	19.09479726	5.276607533
101.00	0.26	105	105	106.8926536	5.544484946	0.919746819	0.632214182	18.84731076	5.098783247
101.00	0.26	110	109	111.0042056	5.576748084	0.936050574	0.632601221	18.9015034	5.081784714
101.00	0.26	115	115	117.0348788	4.955352195	0.935294184	0.641937917	19.01914655	5.262262234
101.00	0.26	120	119	120.8793012	4.397205846	0.936107417	0.632969936	19.11943246	5.460655759
101.00	0.26	125	125	123.4257319	6.381432188	0.90627934	0.630793095	18.44041011	4.944764392
101.00	0.26	130	129	127.9579464	6.450116649	0.909843887	0.628217285	18.39460947	4.842520226
101.00	0.26	135	135	134.3804061	6.685534154	0.917527298	0.618206171	18.57453945	4.870728342
101.00	0.26	140	140	143.6268279	8.900874676	0.785194433	0.557897116	18.16444068	4.645777252
101.00	0.26	145	145	147.2317044	8.795752738	0.797367017	0.575920025	18.10437719	4.698618081
101.00	0.26	15	14	16.292308	6.266582712	0.910968924	0.640646786	18.61384984	5.05154591
101.00	0.26	150	150	154.4172385	9.151976834	0.753537879	0.54225971	18.07214838	4.712316322
101.00	0.26	155	155	154.9339034	7.918925594	0.844494473	0.607944645	18.22081422	4.819240885
101.00	0.26	160	160	159.3549314	7.215602729	0.873640621	0.622368651	18.37406479	4.991070666
101.00	0.26	165	165	165.7469538	6.298824604	0.79980583	0.573268663	18.7411776	5.401419185
101.00	0.26	170	170	172.624604	5.004220063	0.928131665	0.62439661	18.54134952	5.183195238
101.00	0.26	175	175	170.4489849	8.769564163	0.704983935	0.627178249	16.74375829	4.898421793
101.00	0.26	20	19	20.42906523	6.708199678	0.900208244	0.641533735	18.65210748	5.048850288
101.00	0.26	25	24	24.74569326	7.623291661	0.858712311	0.623744673	18.46565745	4.946454955
101.00	0.26	30	29	23.51230335	9.248681708	0.722133262	0.519398403	18.23395171	4.815468982
101.00	0.26	35	34	30.5666576	9.065797815	0.765571164	0.556785957	18.21958113	4.801762332
101.00	0.26	40	39	34.873793	9.026798552	0.76961585	0.547252177	18.32763671	4.754269561
101.00	0.26	45	44	46.31900574	7.074553115	0.893522243	0.640562434	18.47241161	5.155328387
101.00	0.26	5	5	8.979945915	8.117799756	0.731843075	0.631426344	16.9613106	5.017455509
101.00	0.26	50	50	51.22984702	6.441686286	0.915241127	0.638214341	18.65577692	4.890312519
101.00	0.26	55	54	55.82996072	6.592543444	0.902816602	0.637551923	18.54671922	5.022033627
101.00	0.26	60	60	61.95785949	5.408635867	0.915763779	0.633213695	18.67854099	5.058494261
101.00	0.26	65	64	65.54716696	5.632191657	0.931261865	0.640178949	18.91425501	5.211977617
101.00	0.26	70	70	71.46969231	2.645008193	1.009644781	0.629563411	19.48899834	5.511349097
101.00	0.26	75	74	76.57909182	3.601506475	0.943170602	0.625268686	19.24668568	5.574913496
101.00	0.26	80	80	81.9447911	5.008569906	0.929606315	0.623722931	18.86342791	5.203493042
101.00	0.26	85	84	82.01612792	6.723612957	0.858677723	0.622791835	18.26764238	4.887158886
101.00	0.26	90	90	91.93294909	2.463830387	0.967528543	0.65658211	18.61447781	5.763482685
101.00	0.26	95	95	97.44986639	6.266649235	0.874176737	0.63093173	18.29277222	4.997899348
101.00	0.31	0	0	179.1727439	4.24505824	0.459921709	0.501391394	22.47385816	3.523913378
101.00	0.31	10	9	9.252563046	4.005654209	0.806300826	0.439846828	21.01735364	4.758623779
101.00	0.31	100	99	99.64456215	4.12909271	0.79423611	0.431911145	21.08821909	4.648574492
101.00	0.31	105	105	108.1004562	3.736146268	0.797494602	0.446631468	20.45116275	4.608926289
101.00	0.31	110	109	112.4535742	4.074551756	0.770302683	0.456065509	20.1722377	4.78350123
101.00	0.31	115	115	115.921536	3.916000872	0.770623194	0.456890426	20.5752499	4.990584551
101.00	0.31	120	119	119.4366478	4.304120423	0.749441397	0.449495616	20.31427824	4.977412355
101.00	0.31	125	125	122.0450401	4.843134431	0.731329636	0.455640039	19.64586442	4.810666783
101.00	0.31	130	129	126.621585	4.696079264	0.754368922	0.453002884	19.69781081	4.626161236
101.00	0.31	135	135	131.5128736	3.040592618	0.778494162	0.436251029	19.90888295	4.837683766
101.00	0.31	140	140	137.4676888	5.712180286	0.736972466	0.456651145	19.70444751	4.524928247
101.00	0.31	145	145	142.3341457	5.780293397	0.719923242	0.457916608	19.45054365	4.7163151
101.00	0.31	15	14	17.47434545	4.178522743	0.794418338	0.449871795	20.28823474	4.630013812
101.00	0.31	150	150	147.7057935	5.7281713	0.725145142	0.458572339	19.67386097	4.607516373
101.00	0.31	155	155	151.7502736	4.849918065	0.744075587	0.45192597	19.72041735	4.590335079
101.00	0.31	160	160	157.3835112	4.921040668	0.727723847	0.445805853	19.83973111	4.835900101
101.00	0.31	165	165	164.6270614	4.585017937	0.693895154	0.419391733	20.68731296	5.008138879
101.00	0.31	170	170	172.6096604	3.943720094	0.814190841	0.434568003	20.56688823	4.535474879
101.00	0.31	175	175	174.1743933	6.740898358	0.690797007	0.49393309	18.76052263	4.962852176
101.00	0.31	20	19	22.05434575	4.611451583	0.767338758	0.463016494	20.07590726	4.780856388
101.00	0.31	25	24	27.32700006	5.004850541	0.746609073	0.46147613	19.91863989	4.661345687
101.00	0.31	30	29	31.26650399	5.885884898	0.724678573	0.4668143	19.85077748	4.762776943
101.00	0.31	35	34	36.67174119	5.841403611	0.725123528	0.465869811	19.74779713	4.763657724
101.00	0.31	40	39	41.59110938	5.731988058	0.741820189	0.462960762	19.91388282	4.715745232
101.00	0.31	45	44	47.67104106	3.611162742	0.763888829	0.463386252	19.79280172	5.202754497
101.00	0.31	5	5	5.268480518	5.980300217	0.714523387	0.480797492	19.19439113	4.975198909
101.00	0.31	50	50	52.77617072	4.382989954	0.765202791	0.458187728	19.97014137	4.643535016
101.00	0.31	55	54	57.53764052	4.416453912	0.765593186	0.456162745	20.03887395	4.689830307
101.00	0.31	60	60	62.96671959	3.790966213	0.75398583	0.455939521	20.00814823	4.782971748
101.00	0.31	65	64	66.89888324	4.272206906	0.758690911	0.461919475	19.99708582	4.972119046
101.00	0.31	70	70	71.6981124	2.672334521	0.788357063	0.445140819	20.79288323	5.155573668
101.00	0.31	75	74	75.97941494	3.84271756	0.752363838	0.431206215	20.78706516	5.027876369
101.00	0.31	80	80	82.86191562	3.018617491	0.839319212	0.432661494	20.86303637	4.605901915
101.00	0.31	85	84	85.58583108	5.442658106	0.818548881	0.439531108	20.35454618	4.290130395
101.00	0.31	90	90	91.780113	1.980502943	0.891454049	0.368991944	22.52019013	3.577663003
101.00	0.31	95	95	94.70909692	5.306748466	0.804347102	0.437864118	20.29813235	4.40722981
101.00	0.36	0	0	1.169664015	4.577261571	0.583798906	0.369281156	20.25324241	4.821421836
101.00	0.36	10	9	9.311055066	3.919607039	0.681586594	0.301365914	22.1455923	3.642409542
101.00	0.36	100	99	100.6393963	3.922382334	0.647246395	0.301870779	22.22056985	3.802855256
101.00	0.36	105	105	108.8631748	2.459996171	0.676999921	0.302759321	21.75503818	3.562663177
